BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/kepler-36-experiment-300.nlogo3d,,,,,,,,,,,,,
section 2 of 3 of the kepler-36 experiments,,,,,,,,,,,,,
09/04/2013 09:49:34:747 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
[run number],c-mean-anomaly,b-mass,c-semi-major-axis,b-semi-major-axis,b-mean-anomaly,c-logitude,b-logitude,c-mass,[step],[my-orbits-length] of the-kepler-36-c,[my-orbits-length] of the-kepler-36-b,orbits-ok,years-ok
114,300,2.49E+25,18890000,17270000,150,5,244,5.16E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135980 1135680 1136280 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
115,300,2.49E+25,18890000,17270000,150,5,150,4.52E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135860 1135620 1136160 1135080 966660],"""orbits-ok""","""Kepler-36 b"""
116,300,2.49E+25,18890000,17270000,150,5,150,4.84E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135920 1135680 1136220 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
120,300,2.49E+25,18890000,17270000,150,8,240,5.16E+25,121327,[1415400 1415280 1415520 1414440 1415880 203100],[1135860 1135980 1135680 1136580 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
122,300,2.49E+25,18890000,17270000,150,8,244,4.84E+25,121327,[1415400 1415280 1415460 1414500 1415880 203100],[1135860 1135920 1135620 1136520 1134960 966720],"""orbits-ok""","""Kepler-36 b"""
119,300,2.49E+25,18890000,17270000,150,8,240,4.84E+25,121327,[1415400 1415280 1415460 1414500 1415880 203100],[1135860 1135920 1135620 1136520 1134960 966720],"""orbits-ok""","""Kepler-36 b"""
117,300,2.49E+25,18890000,17270000,150,5,150,5.16E+25,120876,[1411680 1411620 1411800 1410660 1412220 194580],[1135860 1135980 1135680 1136280 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
118,300,2.49E+25,18890000,17270000,150,8,240,4.52E+25,121327,[1415400 1415280 1415460 1414500 1415880 203100],[1135860 1135860 1135620 1136400 1135020 966720],"""orbits-ok""","""Kepler-36 b"""
121,300,2.49E+25,18890000,17270000,150,8,244,4.52E+25,121327,[1415400 1415280 1415460 1414500 1415880 203100],[1135860 1135860 1135620 1136400 1135020 966720],"""orbits-ok""","""Kepler-36 b"""
123,300,2.49E+25,18890000,17270000,150,8,244,5.16E+25,121327,[1415400 1415280 1415520 1414440 1415880 203100],[1135860 1135980 1135680 1136580 1135020 966660],"""orbits-ok""","""Kepler-36 b"""
124,300,2.49E+25,18890000,17270000,150,8,150,4.52E+25,121327,[1415400 1415280 1415460 1414500 1415880 203100],[1135860 1135860 1135620 1136400 1135020 966720],"""orbits-ok""","""Kepler-36 b"""
125,300,2.49E+25,18890000,17270000,150,8,150,4.84E+25,121327,[1415400 1415280 1415460 1414500 1415880 203100],[1135860 1135920 1135620 1136520 1134960 966720],"""orbits-ok""","""Kepler-36 b"""
